pk,brand,product,image_url,price,description,category,serving,adjustable
1,Bulk,Pure Whey Protein,pure-whey-protein_bpb-wpc8-0000_main.jpg,16.99,"The foundation of any training programme, our easy-mixing Pure Whey Protein™ powder is loaded with 22g of Protein and 5g of BCAAs per serving, available in over 20 delicious flavours.

Our Pure Whey Protein™ shake is exactly what it sounds like. High quality, premium Whey Protein sourced from the milk of grass-fed, European cows. It’s ideal for anyone starting out on their fitness journey, or any regular trainer looking to pack in the protein. It can even be added to smoothies or used for home baking.",supplements,1kg,
2,Bulk,Vegan Protein Powder,vser-vppo-vegan-protein-powder-main.jpg,27.99,"The foundation of any training programme, our easy-mixing Vegan Protein Powder is made from our V+™ plant-based protein blend. It’s loaded with 23g of protein per serving, entirely free from soya, and available in 7 delicious flavours.

Our Vegan Protein Powder is exactly what it sounds like. High quality, premium protein powder made from an exclusive blend of 5 plant-based sources. It’s ideal if you’re training on a meat-free diet, whether you’re a beginner or a regular, or if you’re just looking for some alternative protein sources to supplement your regular diet.",supplements,1kg,
3,Bulk ,Mass Gainer,mass-gainer_bble-cmas_main.jpg,13.99,"Our most popular weight gainer formula designed for serious bulking, containing over 500kcal per serving including 66g of carbohydrate, 5g of leucine, and 40g of protein from slow and fast release sources.

When it comes to building muscle, working out is only the first part. Your body needs protein to build new muscle, as protein contributes to the growth of muscle mass. So our Mass Gainer formula is loaded with a combination of protein from multiple sources, high quality carbs and added leucine – and it’s available in a selection of incredible flavours.",supplements,7 serving,
4,Muscle Squad,32.5kg Adjustable Dumbbell,MuscleSquad-Dumbells-1811200013-web_2048x2048.jpg,225,"Our 32.5kg adjustable dumbbell uses heavy-duty, laser-cut steel plates to ensure a smooth locking mechanism. Not only is it a serious piece of kit, but it will also look great in your home gym setup.

This single dumbbell has twelve different weight settings, meaning it has the functionality of twelve separate dumbbells in one single package. If you work out in a small garage or spare room with limited space, the adjustable dumbbell means you can still get a full workout in without taking up valuable floor space.",home gym equipment,,adjustable dumbbell
5,Muscle Squad,Neoprene Dumbbells 10kg,MainImage-10kg_2048x2048.jpg,55,"A great way to start your fitness journey, these dumbbells are made from cast iron and then coated in a soft, grippy neoprene finish. This allows for added grip and protection, and the hex shape keeps the dumbbells in place without them rolling away.

The dumbbells can be used for a variety of muscle-building exercises and are suitable for both beginners and advanced users. A staple for any home gym.",home gym equipment,,fixed dumbbell
6,Muscle Squad,Neoprene Dumbbells 5kg,MainImage-5kg_2048x2048.jpg,33,"A great way to start your fitness journey, these dumbbells are made from cast iron and then coated in a soft, grippy neoprene finish. This allows for added grip and protection, and the hex shape keeps the dumbbells in place without them rolling away.

The dumbbells can be used for a variety of muscle-building exercises and are suitable for both beginners and advanced users. A staple for any home gym.",home gym equipment,,fixed dumbbell
7,MyProtein,Weight Gainer Blend,10529988-1004620647157420.jpg,31.99,"If you’re looking to gain weight, build strength, or increase size then you’re going to have to consume more calories than you burn throughout the day — known as a calorie surplus.

And, although that sounds really simple, eating the wrong types of foods can lead to an increase in body fat, which isn’t ideal. To gain muscle you must combine a calorie surplus, with high-quality protein sources — which contribute to the growth and maintenance of muscle mass1 — and a well thought-out strength training plan.",supplements,2.5kg,
8,MyProtein,Impact Whey Protein,10530943-1224889444460882.jpg,64.99,"Premium whey packed with 21g of protein per serving, for the everyday protein you need from a quality source.

And where does this whey come from? The same cows that produce your milk and cheese — simply filtered, evaporated, and spray-dried to produce all-natural nutritionals.

Ranked Grade A by independent tester Labdoor for both quality and value, Impact Whey Protein is officially certified as one of the best protein powders on the market.",supplements,2.5kg,
9,MyProtein,The Whey+,11766317-1654620667075716.jpg,42.99,"Achieve your goals with THE Whey+ with PhaseTech™ — our most advanced whey formula to date. Our time-release beadlet delivery system optimises recovery with a phased BCAA, leucine, and glutamine boost — these naturally occur in protein which helps to build and repair new muscle.1",supplements,30 serving,
10,Gravity Fitness,Portable Pull Up Rack,001-Gravity-Fitness-Portable-Pull-Up-Rack_1200x.jpg,119.95,"The Gravity Fitness Portable Bodyweight & Pull Up Rack has been designed to offer a complete workout using only your bodyweight, anywhere in the world. They are ideal for anyone with an interest in CrossFit, gymnastics, street workout, calisthenics, resistance training or even someone simply wanting to gain some functional strength or improve their physique.

With no screws or bolts, the convenient Gravity Fitness Bodyweight & Pull Up Rack can be assembled in only a few minutes. Once disassembled, it can be easily stored out of the way in the carry bag provided.
",home gym equipment,,
